,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,team1_powerplay,team2_powerplay,average_SR_inning1,average_SR_inning2,average_RR_inning1,average_RR_inning2,team2_extras,team1_extras
188,189,2010,Cuttack,2010-03-21,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,47.0,48.0,1.4132231404958677,1.3305785123966942,8.479338842975206,7.983471074380165,2.0,4.0
189,190,2010,Chennai,2010-03-21,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings XI Punjab,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,38.0,42.0,1.1147540983606556,1.0625,6.688524590163935,6.375,4.0,13.0
190,191,2010,Mumbai,2010-03-22,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel,41.0,57.0,1.2301587301587302,1.3565217391304347,7.380952380952381,8.139130434782608,15.0,4.0
191,192,2010,Bengaluru,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,38.0,29.0,1.3790322580645162,1.0714285714285714,8.274193548387096,6.428571428571429,14.0,11.0
192,193,2010,Chandigarh,2010-03-24,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,53.0,76.0,1.4409448818897639,1.2773109243697478,8.645669291338582,7.663865546218488,10.0,6.0
193,194,2010,Mumbai,2010-03-25,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba,51.0,63.0,1.3846153846153846,1.5083333333333333,8.307692307692307,9.05,14.0,14.0
194,195,2010,Ahmedabad,2010-03-26,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,55.0,54.0,1.1653543307086613,1.556701030927835,6.9921259842519685,9.340206185567009,11.0,11.0
195,196,2010,Chandigarh,2010-03-27,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,50.0,42.0,1.4076923076923078,1.152,8.446153846153846,6.912000000000001,18.0,6.0
196,197,2010,Bengaluru,2010-03-25,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,64.0,46.0,1.4409448818897639,1.328,8.645669291338582,7.968000000000001,8.0,16.0
197,198,2010,Ahmedabad,2010-03-28,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,58.0,58.0,1.4508196721311475,1.3008130081300813,8.704918032786885,7.804878048780488,3.0,6.0
198,199,2010,Mumbai,2010-03-28,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,41,0,Harbhajan Singh,Dr DY Patil Sports Academy,S Das,K Hariharan,52.0,50.0,1.3333333333333333,1.190909090909091,8.0,7.1454545454545455,10.0,11.0
199,200,2010,Delhi,2010-03-29,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Delhi Capitals,40,0,DA Warner,Feroz Shah Kotla,SS Hazare,SJA Taufel,62.0,36.0,1.4274193548387097,1.0873015873015872,8.564516129032258,6.523809523809524,4.0,11.0
200,201,2010,Mumbai,2010-03-30,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,SL Malinga,Brabourne Stadium,BR Doctrove,SK Tarapore,48.0,45.0,1.2834645669291338,1.3225806451612903,7.700787401574803,7.935483870967741,21.0,17.0
201,202,2010,Chennai,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,52.0,56.0,1.2983870967741935,1.3846153846153846,7.790322580645161,8.307692307692308,5.0,10.0
202,203,2010,Delhi,2010-03-31,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,67,0,KD Karthik,Feroz Shah Kotla,HDPK Dharmasena,SJA Taufel,52.0,39.0,1.5161290322580645,1.110091743119266,9.096774193548386,6.660550458715596,13.0,3.0
203,204,2010,Kolkata,2010-04-01,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,24,0,SC Ganguly,Eden Gardens,K Hariharan,DJ Harper,46.0,59.0,1.4365079365079365,1.256,8.619047619047619,7.5360000000000005,14.0,7.0
204,205,2010,Chandigarh,2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,41.0,51.0,1.4596774193548387,1.5593220338983051,8.758064516129032,9.35593220338983,11.0,10.0
205,206,2010,Chennai,2010-04-03,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,M Vijay,"MA Chidambaram Stadium, Chepauk",RE Koertzen,RB Tiffin,66.0,62.0,2.0163934426229506,1.784,12.098360655737705,10.704,6.0,15.0
206,207,2010,Mumbai,2010-04-03,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi,53.0,40.0,1.435483870967742,1.0087719298245614,8.612903225806452,6.052631578947368,7.0,7.0
207,208,2010,Kolkata,2010-04-04,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,53.0,69.0,1.5748031496062993,1.8214285714285714,9.448818897637794,10.928571428571427,13.0,5.0
208,209,2010,Delhi,2010-04-04,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,0,Delhi Capitals,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,54.0,38.0,1.4959349593495934,1.2148760330578512,8.975609756097562,7.289256198347107,8.0,2.0
209,210,2010,Nagpur,2010-04-05,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,48.0,52.0,1.2926829268292683,1.246031746031746,7.7560975609756095,7.476190476190476,12.0,10.0
210,211,2010,Chennai,2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper,42.0,46.0,1.2890625,1.0930232558139534,7.734375,6.558139534883721,18.0,14.0
211,212,2010,Jaipur,2010-04-07,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,52.0,70.0,1.2142857142857142,1.6185567010309279,7.285714285714286,9.711340206185566,9.0,9.0
212,213,2010,Kolkata,2010-04-07,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,50.0,44.0,1.4365079365079365,1.346774193548387,8.619047619047619,8.080645161290322,7.0,9.0
213,214,2010,Bengaluru,2010-04-08,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,7,TL Suman,M Chinnaswamy Stadium,S Asnani,DJ Harper,46.0,32.0,1.4153846153846155,1.537190082644628,8.492307692307692,9.223140495867767,15.0,8.0
214,215,2010,Chandigarh,2010-04-09,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,51.0,56.0,1.2727272727272727,1.3277310924369747,7.636363636363636,7.966386554621849,4.0,4.0
215,216,2010,Nagpur,2010-04-10,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Sunrisers Hyderabad,0,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,55.0,37.0,1.1219512195121952,1.1487603305785123,6.7317073170731705,6.892561983471074,8.0,8.0
216,217,2010,Bengaluru,2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,DJ Harper,61.0,48.0,1.2698412698412698,1.528301886792453,7.619047619047619,9.169811320754716,11.0,11.0
217,218,2010,Delhi,2010-04-11,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Kings XI Punjab,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,45.0,39.0,0.8809523809523809,0.9911504424778761,5.285714285714286,5.946902654867257,18.0,6.0
218,219,2010,Jaipur,2010-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,47.0,34.0,1.359375,1.113821138211382,8.15625,6.682926829268292,12.0,8.0
219,220,2010,Nagpur,2010-04-12,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen,RB Tiffin,35.0,38.0,1.217741935483871,1.104,7.306451612903225,6.6240000000000006,9.0,13.0
220,221,2010,Mumbai,2010-04-13,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,44.0,69.0,1.464,1.180327868852459,8.784,7.081967213114755,10.0,8.0
221,222,2010,Chennai,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,22.0,67.0,1.1031746031746033,1.6627906976744187,6.619047619047619,9.976744186046512,20.0,15.0
222,223,2010,Jaipur,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,KP Pietersen,Sawai Mansingh Stadium,BR Doctrove,S Ravi,30.0,59.0,1.056910569105691,1.4042553191489362,6.341463414634147,8.425531914893618,8.0,1.0
223,224,2010,Chennai,2010-04-15,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,39.0,33.0,0.8888888888888888,0.9741379310344828,5.333333333333333,5.844827586206897,8.0,13.0
224,225,2010,Dharamsala,2010-04-16,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,43.0,45.0,1.392,1.459016393442623,8.352,8.754098360655739,8.0,13.0
225,226,2010,Bengaluru,2010-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,34.0,34.0,1.5158730158730158,1.098360655737705,9.095238095238095,6.59016393442623,15.0,5.0
226,227,2010,Kolkata,2010-04-17,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,46.0,42.0,1.0909090909090908,1.2788461538461537,6.545454545454545,7.673076923076923,3.0,7.0
227,228,2010,Dharamsala,2010-04-18,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,49.0,49.0,1.5609756097560976,1.5853658536585367,9.365853658536585,9.512195121951219,5.0,10.0
228,229,2010,Delhi,2010-04-18,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,11,0,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,38.0,39.0,1.1983471074380165,1.089430894308943,7.190082644628099,6.536585365853658,3.0,5.0
229,230,2010,Kolkata,2010-04-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,42.0,44.0,1.0901639344262295,1.2162162162162162,6.540983606557377,7.297297297297297,6.0,16.0
230,231,2010,Mumbai,2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,54.0,44.0,1.4488188976377954,1.1640625,8.69291338582677,6.984375,13.0,10.0
231,232,2010,Mumbai,2010-04-22,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,DE Bollinger,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,39.0,23.0,1.1544715447154472,0.8813559322033898,6.926829268292683,5.288135593220339,16.0,8.0
232,233,2010,Mumbai,2010-04-24,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,0,9,A Kumble,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,27.0,33.0,0.7192982456140351,1.0238095238095237,4.315789473684211,6.142857142857143,4.0,3.0
233,234,2010,Mumbai,2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,SK Raina,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,40.0,33.0,1.3548387096774193,1.168,8.129032258064516,7.008,11.0,12.0
234,235,2011,Chennai,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,45.0,52.0,1.2644628099173554,1.2276422764227641,7.586776859504131,7.365853658536586,3.0,8.0
235,236,2011,Hyderabad,2011-04-09,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,44.0,31.0,1.1322314049586777,1.2155172413793103,6.793388429752066,7.293103448275862,4.0,5.0
236,237,2011,Kochi,2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,6,AB de Villiers,Nehru Stadium,HDPK Dharmasena,K Hariharan,61.0,48.0,1.2983870967741935,1.3388429752066116,7.790322580645161,8.033057851239668,11.0,13.0
237,238,2011,Delhi,2011-04-10,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,normal,0,Mumbai Indians,0,8,SL Malinga,Feroz Shah Kotla,AM Saheba,RB Tiffin,38.0,31.0,0.8636363636363636,0.9166666666666666,5.1818181818181825,5.5,4.0,11.0
238,239,2011,Mumbai,2011-04-10,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Pune Warriors,0,7,SB Wagh,Dr DY Patil Sports Academy,BR Doctrove,PR Reiffel,36.0,44.0,0.896,1.3780487804878048,5.376,8.26829268292683,10.0,4.0
239,240,2011,Kolkata,2011-04-11,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,9,0,JH Kallis,Eden Gardens,RE Koertzen,SK Tarapore,46.0,30.0,1.3252032520325203,1.2419354838709677,7.951219512195122,7.451612903225806,10.0,9.0
240,241,2011,Jaipur,2011-04-12,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Rajasthan Royals,0,6,SK Warne,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,30.0,57.0,1.217741935483871,1.3333333333333333,7.306451612903225,8.0,9.0,12.0
241,242,2011,Bengaluru,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,SR Tendulkar,M Chinnaswamy Stadium,HDPK Dharmasena,AL Hill,24.0,40.0,1.1290322580645162,1.2654867256637168,6.774193548387096,7.592920353982302,15.0,3.0
242,243,2011,Chandigarh,2011-04-13,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SL Shastri,31.0,65.0,1.540983606557377,1.6637931034482758,9.245901639344263,9.982758620689657,5.0,1.0
243,244,2011,Mumbai,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,S Asnani,PR Reiffel,37.0,44.0,1.2032520325203253,1.2276422764227641,7.219512195121951,7.365853658536586,11.0,11.0
244,245,2011,Hyderabad,2011-04-14,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,33,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,41.0,28.0,1.4,1.136,8.4,6.816000000000001,7.0,8.0
245,246,2011,Jaipur,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,SS Hazare,31.0,62.0,1.2421875,1.4035087719298245,7.453125,8.421052631578947,19.0,4.0
246,247,2011,Mumbai,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BB McCullum,Wankhede Stadium,BR Doctrove,PR Reiffel,44.0,50.0,1.4444444444444444,1.5206611570247934,8.666666666666666,9.12396694214876,17.0,11.0
247,248,2011,Chennai,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,AL Hill,45.0,33.0,1.512396694214876,1.296,9.074380165289256,7.776000000000001,4.0,9.0
248,249,2011,Hyderabad,2011-04-16,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,PC Valthaty,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,S Ravi,48.0,62.0,1.3524590163934427,1.4690265486725664,8.114754098360656,8.814159292035399,5.0,14.0
249,250,2011,Mumbai,2011-04-17,Pune Warriors,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,3,Yuvraj Singh,Dr DY Patil Sports Academy,Asad Rauf,AM Saheba,63.0,67.0,1.4841269841269842,1.5702479338842976,8.904761904761905,9.421487603305785,8.0,10.0
250,251,2011,Kolkata,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,RB Tiffin,36.0,26.0,0.84375,0.9550561797752809,5.0625,5.730337078651685,5.0,11.0
251,252,2011,Kochi,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,BB McCullum,Nehru Stadium,K Hariharan,AL Hill,42.0,49.0,1.2596153846153846,1.4673913043478262,7.557692307692308,8.804347826086957,3.0,3.0
252,253,2011,Delhi,2011-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,16,0,S Sohal,Feroz Shah Kotla,PR Reiffel,RJ Tucker,43.0,38.0,1.3770491803278688,1.2459016393442623,8.262295081967213,7.475409836065574,5.0,13.0
253,254,2011,Mumbai,2011-04-20,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,33.0,32.0,1.0825688073394495,1.024793388429752,6.4954128440366965,6.148760330578512,12.0,10.0
254,255,2011,Kolkata,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens,Aleem Dar,RB Tiffin,45.0,37.0,1.0731707317073171,1.0327868852459017,6.439024390243903,6.19672131147541,8.0,11.0
255,256,2011,Chandigarh,2011-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,77.0,45.0,1.5234375,1.2148760330578512,9.140625,7.289256198347107,17.0,2.0
256,257,2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,40.0,44.0,1.28125,1.2093023255813953,7.6875,7.255813953488372,14.0,10.0
257,258,2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,50.0,57.0,1.3255813953488371,1.5486725663716814,7.953488372093023,9.29203539823009,13.0,5.0
258,259,2011,Delhi,2011-04-23,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Delhi Capitals,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,70.0,46.0,1.8333333333333333,1.6422764227642277,11.0,9.853658536585366,16.0,5.0
259,260,2011,Hyderabad,2011-04-24,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,57.0,41.0,1.4098360655737705,1.0975609756097562,8.459016393442623,6.585365853658536,5.0,12.0
260,261,2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,32.0,38.0,0.8861788617886179,1.2906976744186047,5.317073170731708,7.7441860465116275,9.0,2.0
261,262,2011,Chennai,2011-04-25,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,45.0,40.0,1.1544715447154472,0.9512195121951219,6.926829268292683,5.7073170731707314,4.0,7.0
262,263,2011,Delhi,2011-04-26,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,42.0,65.0,1.2403100775193798,1.319672131147541,7.441860465116279,7.918032786885246,13.0,18.0
263,264,2011,Mumbai,2011-04-27,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,37.0,28.0,1.1370967741935485,1.1788617886178863,6.82258064516129,7.073170731707317,5.0,8.0
264,265,2011,Kochi,2011-04-27,Sunrisers Hyderabad,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Sunrisers Hyderabad,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,20.0,29.0,1.032,0.7184466019417476,6.192,4.310679611650485,7.0,7.0
265,266,2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,42.0,41.0,1.1746031746031746,1.0564516129032258,7.0476190476190474,6.338709677419354,8.0,7.0
266,267,2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,31.0,18.0,0.7580645161290323,0.8636363636363636,4.548387096774193,5.1818181818181825,7.0,2.0
267,268,2011,Bengaluru,2011-04-29,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,57.0,42.0,1.4958677685950412,1.24,8.975206611570247,7.44,2.0,9.0
268,269,2011,Kochi,2011-04-30,Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals,bat,normal,0,Delhi Capitals,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,34.0,37.0,1.256,1.043859649122807,7.5360000000000005,6.2631578947368425,16.0,8.0
269,270,2011,Kolkata,2011-04-30,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,40.0,45.0,0.9596774193548387,1.1009174311926606,5.758064516129032,6.605504587155963,6.0,12.0
270,271,2011,Jaipur,2011-05-01,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,49.0,34.0,1.1721311475409837,1.2100840336134453,7.032786885245902,7.260504201680673,5.0,11.0
271,272,2011,Chennai,2011-05-01,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,34.0,64.0,1.3306451612903225,1.1869918699186992,7.983870967741935,7.121951219512195,9.0,5.0
272,273,2011,Mumbai,2011-05-02,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,35.0,24.0,1.3140495867768596,1.1239669421487604,7.884297520661157,6.743801652892562,5.0,12.0
273,274,2011,Delhi,2011-05-02,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,42.0,67.0,1.12,1.396039603960396,6.720000000000001,8.376237623762377,7.0,18.0
